Charge,Type,Class,p
Criminal solicitation in the fourth degree,Misdemeanor,A,0.0122
Conspiracy in the fifth degree,Misdemeanor,A,0.0101
Assault in the third degree,Misdemeanor,A,0.0101
Hazing in the first degree,Misdemeanor,A,0.0101
Reckless endangerment in the second degree,Misdemeanor,A,0.0101
Stalking in the third degree,Misdemeanor,A,0.0101
Sexual misconduct,Misdemeanor,A,0.0101
Sexual abuse in the second degree,Misdemeanor,A,0.0101
Criminal mischief in the fourth degree,Misdemeanor,A,0.0101
Criminal tampering in the second degree,Misdemeanor,A,0.0101
Making graffiti,Misdemeanor,A,0.0101
Petit larceny,Misdemeanor,A,0.0101
Computer tampering in the fourth degree,Misdemeanor,A,0.0101
Unauthorized use of a vehicle in the third degree,Misdemeanor,A,0.0101
Theft of services,Misdemeanor,A,0.0101
"Unlawful use of credit card, debit card or public benefit card",Misdemeanor,A,0.0101
Criminal possession of stolen property in the fifth degree,Misdemeanor,A,0.0101
Trademark counterfeiting in the third degree,Misdemeanor,A,0.0101
Forgery in the third degree,Misdemeanor,A,0.0101
Falsifying business records in the second degree,Misdemeanor,A,0.0101
Issuing a false financial statement,Misdemeanor,A,0.0101
Insurance fraud in the fifth degree,Misdemeanor,A,0.0101
Health care fraud in the fifth degree,Misdemeanor,A,0.0101
Tampering with a sports contest in the second degree,Misdemeanor,A,0.0101
Fraud involving a security interest,Misdemeanor,A,0.0101
Residential mortgage fraud in the fifth degree,Misdemeanor,A,0.0101
False advertising,Misdemeanor,A,0.0101
Criminal impersonation in the second degree,Misdemeanor,A,0.0101
Identity theft in the third degree,Misdemeanor,A,0.0101
Unlawful possession of personal identification information in the third degree,Misdemeanor,A,0.0101
Official misconduct,Misdemeanor,A,0.0101
Killing or injuring a police animal,Misdemeanor,A,0.0101
Harming an animal trained to aid a person with a disability in the first degree,Misdemeanor,A,0.0101
Promoting prison contraband in the second degree,Misdemeanor,A,0.0101
Hindering prosecution in the third degree,Misdemeanor,A,0.0101
Perjury in the third degree,Misdemeanor,A,0.0101
Tampering with a witness in the fourth degree,Misdemeanor,A,0.0101
Tampering with a juror in the first degree,Misdemeanor,A,0.0101
Compounding a crime,Misdemeanor,A,0.0101
Criminal contempt in the second degree,Misdemeanor,A,0.0101
Unlawful disposition of assets subject to forfeiture,Misdemeanor,A,0.0101
